Precinct_name,Contest_title,candidate_name,Party_Code,total_votes
115,"PROP. 6, CONSTITUTIONAL AMENDMENT ELECTION",Against,,0
115,"PROP. 6, CONSTITUTIONAL AMENDMENT ELECTION",For,,1
115,"PROP. 7, CONSTITUTIONAL AMENDMENT ELECTION",Against,,1
115,"PROP. 7, CONSTITUTIONAL AMENDMENT ELECTION",For,,0
115,"TRAVIS COUNTY BOND PROPOSITION, TRAVIS COUNTY BOND ELECTION",Against,,1
115,"TRAVIS COUNTY BOND PROPOSITION, TRAVIS COUNTY BOND ELECTION",For,,0
116,"PROP. 1, CONSTITUTIONAL AMENDMENT ELECTION",Against,,0
116,"PROP. 1, CONSTITUTIONAL AMENDMENT ELECTION",For,,0
116,"PROP. 2, CONSTITUTIONAL AMENDMENT ELECTION",Against,,0
116,"PROP. 2, CONSTITUTIONAL AMENDMENT ELECTION",For,,0
116,"PROP. 3, CONSTITUTIONAL AMENDMENT ELECTION",Against,,0
116,"PROP. 3, CONSTITUTIONAL AMENDMENT ELECTION",For,,0
116,"PROP. 4, CONSTITUTIONAL AMENDMENT ELECTION",Against,,0
116,"PROP. 4, CONSTITUTIONAL AMENDMENT ELECTION",For,,0
116,"PROP. 5, CONSTITUTIONAL AMENDMENT ELECTION",Against,,0
116,"PROP. 5, CONSTITUTIONAL AMENDMENT ELECTION",For,,0
116,"PROP. 6, CONSTITUTIONAL AMENDMENT ELECTION",Against,,0
116,"PROP. 6, CONSTITUTIONAL AMENDMENT ELECTION",For,,0
116,"PROP. 7, CONSTITUTIONAL AMENDMENT ELECTION",Against,,0
116,"PROP. 7, CONSTITUTIONAL AMENDMENT ELECTION",For,,0
116,"TRAVIS COUNTY BOND PROPOSITION, TRAVIS COUNTY BOND ELECTION",Against,,0
116,"TRAVIS COUNTY BOND PROPOSITION, TRAVIS COUNTY BOND ELECTION",For,,0
117,"PROP. 1, CONSTITUTIONAL AMENDMENT ELECTION",Against,,38
117,"PROP. 1, CONSTITUTIONAL AMENDMENT ELECTION",For,,98
117,"PROP. 2, CONSTITUTIONAL AMENDMENT ELECTION",Against,,14
117,"PROP. 2, CONSTITUTIONAL AMENDMENT ELECTION",For,,122
117,"PROP. 3, CONSTITUTIONAL AMENDMENT ELECTION",Against,,81
117,"PROP. 3, CONSTITUTIONAL AMENDMENT ELECTION",For,,52
117,"PROP. 4, CONSTITUTIONAL AMENDMENT ELECTION",Against,,53
117,"PROP. 4, CONSTITUTIONAL AMENDMENT ELECTION",For,,81
117,"PROP. 5, CONSTITUTIONAL AMENDMENT ELECTION",Against,,38
117,"PROP. 5, CONSTITUTIONAL AMENDMENT ELECTION",For,,97
117,"PROP. 6, CONSTITUTIONAL AMENDMENT ELECTION",Against,,47
117,"PROP. 6, CONSTITUTIONAL AMENDMENT ELECTION",For,,86
117,"PROP. 7, CONSTITUTIONAL AMENDMENT ELECTION",Against,,35
117,"PROP. 7, CONSTITUTIONAL AMENDMENT ELECTION",For,,102
117,"TRAVIS COUNTY BOND PROPOSITION, TRAVIS COUNTY BOND ELECTION",Against,,61
117,"TRAVIS COUNTY BOND PROPOSITION, TRAVIS COUNTY BOND ELECTION",For,,77
118,"PROP. 1, CONSTITUTIONAL AMENDMENT ELECTION",Against,,7
118,"PROP. 1, CONSTITUTIONAL AMENDMENT ELECTION",For,,29
118,"PROP. 2, CONSTITUTIONAL AMENDMENT ELECTION",Against,,3
118,"PROP. 2, CONSTITUTIONAL AMENDMENT ELECTION",For,,35
118,"PROP. 3, CONSTITUTIONAL AMENDMENT ELECTION",Against,,19
118,"PROP. 3, CONSTITUTIONAL AMENDMENT ELECTION",For,,18
118,"PROP. 4, CONSTITUTIONAL AMENDMENT ELECTION",Against,,21
118,"PROP. 4, CONSTITUTIONAL AMENDMENT ELECTION",For,,14
118,"PROP. 5, CONSTITUTIONAL AMENDMENT ELECTION",Against,,12
118,"PROP. 5, CONSTITUTIONAL AMENDMENT ELECTION",For,,24
118,"PROP. 6, CONSTITUTIONAL AMENDMENT ELECTION",Against,,16
118,"PROP. 6, CONSTITUTIONAL AMENDMENT ELECTION",For,,21
118,"PROP. 7, CONSTITUTIONAL AMENDMENT ELECTION",Against,,12
118,"PROP. 7, CONSTITUTIONAL AMENDMENT ELECTION",For,,24
118,"TRAVIS COUNTY BOND PROPOSITION, TRAVIS COUNTY BOND ELECTION",Against,,12
118,"TRAVIS COUNTY BOND PROPOSITION, TRAVIS COUNTY BOND ELECTION",For,,23
119,"PROP. 1, CONSTITUTIONAL AMENDMENT ELECTION",Against,,0
119,"PROP. 1, CONSTITUTIONAL AMENDMENT ELECTION",For,,0
119,"PROP. 2, CONSTITUTIONAL AMENDMENT ELECTION",Against,,0
119,"PROP. 2, CONSTITUTIONAL AMENDMENT ELECTION",For,,0
119,"PROP. 3, CONSTITUTIONAL AMENDMENT ELECTION",Against,,0
119,"PROP. 3, CONSTITUTIONAL AMENDMENT ELECTION",For,,0
119,"PROP. 4, CONSTITUTIONAL AMENDMENT ELECTION",Against,,0
119,"PROP. 4, CONSTITUTIONAL AMENDMENT ELECTION",For,,0
119,"PROP. 5, CONSTITUTIONAL AMENDMENT ELECTION",Against,,0
119,"PROP. 5, CONSTITUTIONAL AMENDMENT ELECTION",For,,0
119,"PROP. 6, CONSTITUTIONAL AMENDMENT ELECTION",Against,,0
119,"PROP. 6, CONSTITUTIONAL AMENDMENT ELECTION",For,,0
119,"PROP. 7, CONSTITUTIONAL AMENDMENT ELECTION",Against,,0
119,"PROP. 7, CONSTITUTIONAL AMENDMENT ELECTION",For,,0
119,"TRAVIS COUNTY BOND PROPOSITION, TRAVIS COUNTY BOND ELECTION",Against,,0
119,"TRAVIS COUNTY BOND PROPOSITION, TRAVIS COUNTY BOND ELECTION",For,,0
